t,beta,r,d,gamma,sigma
219,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
220,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
221,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
222,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
223,0.063923176,0.018123286,0.000516061,9.86E-05,0.05
224,0.066605724,0.017888347,0.000832612,0.000104059,0.05
225,0.066605724,0.017888347,0.000832612,0.000104059,0.05
226,0.066605724,0.017888347,0.000832612,0.000104059,0.05
227,0.066605724,0.017888347,0.000832612,0.000104059,0.05
228,0.066605724,0.017888347,0.000832612,0.000104059,0.05
229,0.066605724,0.017888347,0.000832612,0.000104059,0.05
230,0.066605724,0.017888347,0.000832612,0.000104059,0.05
231,0.066605724,0.017888347,0.000832612,0.000104059,0.05
232,0.066605724,0.017888347,0.000832612,0.000104059,0.05
233,0.066605724,0.017888347,0.000832612,0.000104059,0.05
234,0.066605724,0.017888347,0.000832612,0.000104059,0.05
235,0.066605724,0.017888347,0.000832612,0.000104059,0.05
236,0.066605724,0.017888347,0.000832612,0.000104059,0.05
237,0.066605724,0.017888347,0.000832612,0.000104059,0.05
238,0.066605724,0.017888347,0.000832612,0.000104059,0.05
239,0.066605724,0.017888347,0.000832612,0.000104059,0.05
240,0.066605724,0.017888347,0.000832612,0.000104059,0.05
241,0.066605724,0.017888347,0.000832612,0.000104059,0.05
242,0.066605724,0.017888347,0.000832612,0.000104059,0.05
243,0.066605724,0.017888347,0.000832612,0.000104059,0.05
244,0.066605724,0.017888347,0.000832612,0.000104059,0.05
245,0.066605724,0.017888347,0.000832612,0.000104059,0.05
246,0.066605724,0.017888347,0.000832612,0.000104059,0.05
247,0.066605724,0.017888347,0.000832612,0.000104059,0.05
248,0.066605724,0.017888347,0.000832612,0.000104059,0.05
249,0.066605724,0.017888347,0.000832612,0.000104059,0.05
250,0.066605724,0.017888347,0.000832612,0.000104059,0.05
251,0.066605724,0.017888347,0.000832612,0.000104059,0.05
252,0.066605724,0.017888347,0.000832612,0.000104059,0.05
253,0.029967268,0.032338109,0.000924492,0.000105487,0.05
254,0.029967268,0.032338109,0.000924492,0.000105487,0.05
255,0.029967268,0.032338109,0.000924492,0.000105487,0.05
256,0.029967268,0.032338109,0.000924492,0.000105487,0.05
257,0.029967268,0.032338109,0.000924492,0.000105487,0.05
258,0.029967268,0.032338109,0.000924492,0.000105487,0.05
259,0.029967268,0.032338109,0.000924492,0.000105487,0.05
260,0.029967268,0.032338109,0.000924492,0.000105487,0.05
261,0.029967268,0.032338109,0.000924492,0.000105487,0.05
262,0.029967268,0.032338109,0.000924492,0.000105487,0.05
263,0.029967268,0.032338109,0.000924492,0.000105487,0.05
264,0.029967268,0.032338109,0.000924492,0.000105487,0.05
265,0.029967268,0.032338109,0.000924492,0.000105487,0.05
266,0.029967268,0.032338109,0.000924492,0.000105487,0.05
267,0.022811155,0.034314737,0.000868234,0.00010198,0.05
268,0.022811155,0.034314737,0.000868234,0.00010198,0.05
269,0.022811155,0.034314737,0.000868234,0.00010198,0.05
270,0.022811155,0.034314737,0.000868234,0.00010198,0.05
271,0.022811155,0.034314737,0.000868234,0.00010198,0.05
272,0.022811155,0.034314737,0.000868234,0.00010198,0.05
273,0.022811155,0.034314737,0.000868234,0.00010198,0.05
274,0.022811155,0.034314737,0.000868234,0.00010198,0.05
275,0.022811155,0.034314737,0.000868234,0.00010198,0.05
276,0.022811155,0.034314737,0.000868234,0.00010198,0.05
277,0.022811155,0.034314737,0.000868234,0.00010198,0.05
278,0.022811155,0.034314737,0.000868234,0.00010198,0.05
279,0.022811155,0.034314737,0.000868234,0.00010198,0.05
280,0.022811155,0.034314737,0.000868234,0.00010198,0.05
281,0.022811155,0.034314737,0.000868234,0.00010198,0.05
282,0.022811155,0.034314737,0.000868234,0.00010198,0.05
283,0.022811155,0.034314737,0.000868234,0.00010198,0.05
284,0.022811155,0.034314737,0.000868234,0.00010198,0.05
285,0.022811155,0.034314737,0.000868234,0.00010198,0.05
286,0.022811155,0.034314737,0.000868234,0.00010198,0.05
287,0.022811155,0.034314737,0.000868234,0.00010198,0.05
288,0.022811155,0.034314737,0.000868234,0.00010198,0.05
289,0.02942215,0.028620283,0.000865348,9.95E-05,0.05
290,0.02942215,0.028620283,0.000865348,9.95E-05,0.05
291,0.02942215,0.028620283,0.000865348,9.95E-05,0.05
292,0.02942215,0.028620283,0.000865348,9.95E-05,0.05
293,0.02942215,0.028620283,0.000865348,9.95E-05,0.05
294,0.02942215,0.028620283,0.000865348,9.95E-05,0.05
295,0.02942215,0.028620283,0.000865348,9.95E-05,0.05
296,0.02942215,0.028620283,0.000865348,9.95E-05,0.05
297,0.02942215,0.028620283,0.000865348,9.95E-05,0.05
298,0.02942215,0.028620283,0.000865348,9.95E-05,0.05
299,0.02942215,0.028620283,0.000865348,9.95E-05,0.05
300,0.02942215,0.028620283,0.000865348,9.95E-05,0.05
301,0.02942215,0.028620283,0.000865348,9.95E-05,0.05
302,0.02942215,0.028620283,0.000865348,9.95E-05,0.05
303,0.02942215,0.028620283,0.000865348,9.95E-05,0.05
304,0.02942215,0.028620283,0.000865348,9.95E-05,0.05
305,0.02942215,0.028620283,0.000865348,9.95E-05,0.05
306,0.02942215,0.028620283,0.000865348,9.95E-05,0.05
307,0.023599947,0.035614542,0.000832474,9.57E-05,0.05
308,0.023599947,0.035614542,0.000832474,9.57E-05,0.05
309,0.023599947,0.035614542,0.000832474,9.57E-05,0.05
310,0.023599947,0.035614542,0.000832474,9.57E-05,0.05
311,0.023599947,0.035614542,0.000832474,9.57E-05,0.05
312,0.023599947,0.035614542,0.000832474,9.57E-05,0.05
313,0.023599947,0.035614542,0.000832474,9.57E-05,0.05
314,0.023599947,0.035614542,0.000832474,9.57E-05,0.05
315,0.023599947,0.035614542,0.000832474,9.57E-05,0.05
316,0.023599947,0.035614542,0.000832474,9.57E-05,0.05
317,0.025308901,0.038645164,0.00094063,0.000100043,0.05
318,0.025308901,0.038645164,0.00094063,0.000100043,0.05
319,0.025308901,0.038645164,0.00094063,0.000100043,0.05
320,0.025308901,0.038645164,0.00094063,0.000100043,0.05
321,0.025308901,0.038645164,0.00094063,0.000100043,0.05
322,0.025308901,0.038645164,0.00094063,0.000100043,0.05
323,0.025308901,0.038645164,0.00094063,0.000100043,0.05
324,0.025308901,0.038645164,0.00094063,0.000100043,0.05
325,0.025308901,0.038645164,0.00094063,0.000100043,0.05
326,0.025308901,0.038645164,0.00094063,0.000100043,0.05
327,0.030694842,0.02976573,0.000802962,0.000104502,0.05
328,0.030694842,0.02976573,0.000802962,0.000104502,0.05
329,0.030694842,0.02976573,0.000802962,0.000104502,0.05
330,0.030694842,0.02976573,0.000802962,0.000104502,0.05
331,0.030694842,0.02976573,0.000802962,0.000104502,0.05
332,0.030694842,0.02976573,0.000802962,0.000104502,0.05
333,0.030694842,0.02976573,0.000802962,0.000104502,0.05
334,0.030694842,0.02976573,0.000802962,0.000104502,0.05
335,0.030694842,0.02976573,0.000802962,0.000104502,0.05
336,0.030694842,0.02976573,0.000802962,0.000104502,0.05
337,0.030694842,0.02976573,0.000802962,0.000104502,0.05
338,0.030694842,0.02976573,0.000802962,0.000104502,0.05
339,0.030694842,0.02976573,0.000802962,0.000104502,0.05
340,0.030694842,0.02976573,0.000802962,0.000104502,0.05
